Date;Group;Series;Value
19/05/2016;Riksbank key interest rates;Policy rate;-0,50
20/05/2016;Riksbank key interest rates;Policy rate;-0,50
23/05/2016;Riksbank key interest rates;Policy rate;-0,50
24/05/2016;Riksbank key interest rates;Policy rate;-0,50
25/05/2016;Riksbank key interest rates;Policy rate;-0,50
26/05/2016;Riksbank key interest rates;Policy rate;-0,50
27/05/2016;Riksbank key interest rates;Policy rate;-0,50
30/05/2016;Riksbank key interest rates;Policy rate;-0,50
31/05/2016;Riksbank key interest rates;Policy rate;-0,50
01/06/2016;Riksbank key interest rates;Policy rate;-0,50
02/06/2016;Riksbank key interest rates;Policy rate;-0,50
03/06/2016;Riksbank key interest rates;Policy rate;-0,50
07/06/2016;Riksbank key interest rates;Policy rate;-0,50
08/06/2016;Riksbank key interest rates;Policy rate;-0,50
09/06/2016;Riksbank key interest rates;Policy rate;-0,50
10/06/2016;Riksbank key interest rates;Policy rate;-0,50
13/06/2016;Riksbank key interest rates;Policy rate;-0,50
14/06/2016;Riksbank key interest rates;Policy rate;-0,50
15/06/2016;Riksbank key interest rates;Policy rate;-0,50
16/06/2016;Riksbank key interest rates;Policy rate;-0,50
17/06/2016;Riksbank key interest rates;Policy rate;-0,50
20/06/2016;Riksbank key interest rates;Policy rate;-0,50
21/06/2016;Riksbank key interest rates;Policy rate;-0,50
22/06/2016;Riksbank key interest rates;Policy rate;-0,50
23/06/2016;Riksbank key interest rates;Policy rate;-0,50
27/06/2016;Riksbank key interest rates;Policy rate;-0,50
28/06/2016;Riksbank key interest rates;Policy rate;-0,50
29/06/2016;Riksbank key interest rates;Policy rate;-0,50
30/06/2016;Riksbank key interest rates;Policy rate;-0,50
01/07/2016;Riksbank key interest rates;Policy rate;-0,50
04/07/2016;Riksbank key interest rates;Policy rate;-0,50
05/07/2016;Riksbank key interest rates;Policy rate;-0,50
06/07/2016;Riksbank key interest rates;Policy rate;-0,50
07/07/2016;Riksbank key interest rates;Policy rate;-0,50
08/07/2016;Riksbank key interest rates;Policy rate;-0,50
11/07/2016;Riksbank key interest rates;Policy rate;-0,50
12/07/2016;Riksbank key interest rates;Policy rate;-0,50
13/07/2016;Riksbank key interest rates;Policy rate;-0,50
14/07/2016;Riksbank key interest rates;Policy rate;-0,50
15/07/2016;Riksbank key interest rates;Policy rate;-0,50
